# Phases 	 model 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
-0.5849984998 	 -11.8688515208 	 -14.1705485459 	 -9.1612149317 	 -16.3856432098 	 -5.5695585208 	 -17.8543192333 	 -2.4419182625
-0.5848784878 	 -11.8565195908 	 -14.1598125644 	 -9.1479890265 	 -16.3774693058 	 -5.5536483314 	 -17.8426591040 	 -2.4276566666
-0.5847584758 	 -11.8438885130 	 -14.1474163993 	 -9.1338624396 	 -16.3692890557 	 -5.5377391102 	 -17.8329056073 	 -2.4133981963
-0.5846384638 	 -11.8314012468 	 -14.1358697866 	 -9.1189134093 	 -16.3611024599 	 -5.5218308465 	 -17.8268169516 	 -2.3991428704
-0.5845184518 	 -11.8183565883 	 -14.1246524777 	 -9.1039605236 	 -16.3529095189 	 -5.5059235796 	 -17.8207211434 	 -2.3848907076
-0.5843984398 	 -11.8060496522 	 -14.1123146714 	 -9.0890037601 	 -16.3447102330 	 -5.4900172985 	 -17.8114019483 	 -2.3706416821
-0.5842784278 	 -11.7930996921 	 -14.0999685079 	 -9.0768232131 	 -16.3365046027 	 -5.4741119926 	 -17.7978873340 	 -2.3563958127
-0.5841584158 	 -11.7789932685 	 -14.0880439685 	 -9.0603309947 	 -16.3269115562 	 -5.4582077010 	 -17.7894953522 	 -2.3421531182
-0.5840384038 	 -11.7656583253 	 -14.0777175491 	 -9.0457511303 	 -16.3132852710 	 -5.4423246271 	 -17.7842227026 	 -2.3279135728
-0.5839183918 	 -11.7509378854 	 -14.0658837397 	 -9.0327170053 	 -16.3063960811 	 -5.4271016107 	 -17.7793297958 	 -2.3136771951
-0.5837983798 	 -11.7374523975 	 -14.0540431843 	 -9.0174510030 	 -16.2971472798 	 -5.4110851775 	 -17.7744288631 	 -2.2994440040
-0.5836783678 	 -11.7247772494 	 -14.0412362919 	 -9.0021818760 	 -16.2871659279 	 -5.3966575700 	 -17.7695198915 	 -2.2852139735
-0.5835583558 	 -11.7115502641 	 -14.0298581541 	 -8.9869096483 	 -16.2771758812 	 -5.3806705802 	 -17.7646028832 	 -2.2709871225
-0.5834383438 	 -11.6976032644 	 -14.0177534227 	 -8.9718971272 	 -16.2671771511 	 -5.3660611267 	 -17.7554220726 	 -2.2567634696
-0.5833183318 	 -11.6844234622 	 -14.0066134472 	 -8.9563644217 	 -16.2571697386 	 -5.3509965969 	 -17.7440864692 	 -2.2425429889
-0.5831983198 	 -11.6701299158 	 -13.9947391509 	 -8.9421141467 	 -16.2471536449 	 -5.3357776442 	 -17.7348486197 	 -2.2283256993
-0.5830783078 	 -11.6562290597 	 -13.9828581042 	 -8.9279967112 	 -16.2376614810 	 -5.3200283308 	 -17.7279894074 	 -2.2141116192
-0.5829582958 	 -11.6419929966 	 -13.9716663564 	 -8.9140604465 	 -16.2284145643 	 -5.3053391189 	 -17.7187500332 	 -2.1999007230
-0.5828382838 	 -11.6290781751 	 -13.9601271554 	 -8.9016793597 	 -16.2170532863 	 -5.2901250183 	 -17.7093321198 	 -2.1856930441
-0.5827182718 	 -11.6155361556 	 -13.9471844049 	 -8.8860001021 	 -16.2070024780 	 -5.2748003289 	 -17.7026210059 	 -2.1714885567
-0.5825982598 	 -11.6019264945 	 -13.9352666544 	 -8.8720367476 	 -16.1969429936 	 -5.2584898171 	 -17.6982052345 	 -2.1572872794
-0.5824782478 	 -11.5872487004 	 -13.9230560439 	 -8.8587338028 	 -16.1837158695 	 -5.2421800308 	 -17.6866331995 	 -2.1430892308
-0.5823582358 	 -11.5737944062 	 -13.9089252867 	 -8.8454281631 	 -16.1741507721 	 -5.2258709952 	 -17.6750495877 	 -2.1288943851
-0.5822382238 	 -11.5602463092 	 -13.8973611967 	 -8.8340305155 	 -16.1656327264 	 -5.2095626847 	 -17.6634543760 	 -2.1147027609
-0.5821182118 	 -11.5467195930 	 -13.8872961269 	 -8.8204709544 	 -16.1566183173 	 -5.1932551246 	 -17.6526551592 	 -2.1005143768
-0.5819981998 	 -11.5334097700 	 -13.8756261307 	 -8.8054951400 	 -16.1465154689 	 -5.1795019951 	 -17.6431807660 	 -2.0863292069
-0.5818781878 	 -11.5210427202 	 -13.8664423666 	 -8.7915877549 	 -16.1389439038 	 -5.1666946887 	 -17.6336983072 	 -2.0721472700
-0.5817581758 	 -11.5073554537 	 -13.8546475998 	 -8.7768797327 	 -16.1313913002 	 -5.1532064932 	 -17.6247729839 	 -2.0553445949
-0.5816381638 	 -11.4916340888 	 -13.8428388358 	 -8.7624450582 	 -16.1190128740 	 -5.1379971124 	 -17.6169457943 	 -2.0374650135
-0.5815181518 	 -11.4786601904 	 -13.8306505707 	 -8.7471167992 	 -16.1066240403 	 -5.1240309909 	 -17.6091104692 	 -2.0195901040
-0.5813981398 	 -11.4646082474 	 -13.8189351939 	 -8.7314734498 	 -16.0958712153 	 -5.1111546469 	 -17.6012669998 	 -2.0035590954
-0.5812781278 	 -11.4502134883 	 -13.8057457942 	 -8.7158277371 	 -16.0853414479 	 -5.0980988456 	 -17.5934154017 	 -1.9891731620
-0.5811581158 	 -11.4351592057 	 -13.7936312815 	 -8.7009688830 	 -16.0755528529 	 -5.0794184253 	 -17.5855556659 	 -1.9747905765
-0.5810381038 	 -11.4219884712 	 -13.7799149152 	 -8.6875990322 	 -16.0653806782 	 -5.0619619264 	 -17.5709495426 	 -1.9604113283
-0.5809180918 	 -11.4084526903 	 -13.7677549378 	 -8.6734347258 	 -16.0551998427 	 -5.0467572843 	 -17.5575483330 	 -1.9460354517
-0.5807980798 	 -11.3948566764 	 -13.7547418316 	 -8.6592678711 	 -16.0450103473 	 -5.0315534555 	 -17.5479933017 	 -1.9316629360
-0.5806780678 	 -11.3815937561 	 -13.7432568777 	 -8.6434200337 	 -16.0348121933 	 -5.0163504462 	 -17.5384302187 	 -1.9172937857
-0.5805580558 	 -11.3673960573 	 -13.7308948312 	 -8.6293157869 	 -16.0246053817 	 -5.0011482780 	 -17.5288590646 	 -1.9029279900
-0.5804380438 	 -11.3523261063 	 -13.7182920101 	 -8.6136666544 	 -16.0143899136 	 -4.9860271370 	 -17.5192798496 	 -1.8885655832
-0.5803180318 	 -11.3381510163 	 -13.7060637165 	 -8.6012509947 	 -16.0068723016 	 -4.9691989746 	 -17.5096925741 	 -1.8742065546
-0.5801980198 	 -11.3246219089 	 -13.6952546011 	 -8.5871925190 	 -15.9972378804 	 -4.9534031859 	 -17.5000972387 	 -1.8598509086
-0.5800780078 	 -11.3107537764 	 -13.6824501164 	 -8.5732208817 	 -15.9906136699 	 -4.9364760173 	 -17.4904938435 	 -1.8454986345
-0.5799579958 	 -11.2968288842 	 -13.6702637169 	 -8.5585271652 	 -15.9839830574 	 -4.9251499627 	 -17.4808823891 	 -1.8311497665
-0.5798379838 	 -11.2837426472 	 -13.6588325047 	 -8.5434373479 	 -15.9743663232 	 -4.9099528559 	 -17.4712628758 	 -1.8168042939
-0.5797179718 	 -11.2695962685 	 -13.6474672504 	 -8.5302307060 	 -15.9643257587 	 -4.8947566160 	 -17.4616353041 	 -1.8024622209
-0.5795979598 	 -11.2549747809 	 -13.6352658459 	 -8.5154128812 	 -15.9542768826 	 -4.8795612650 	 -17.4519996844 	 -1.7881235370
-0.5794779478 	 -11.2424646738 	 -13.6220681869 	 -8.5017663151 	 -15.9442197065 	 -4.8643667769 	 -17.4423559970 	 -1.7737882762
-0.5793579358 	 -11.2303095497 	 -13.6112168009 	 -8.4881166777 	 -15.9341542103 	 -4.8509431524 	 -17.4327042523 	 -1.7594564279
-0.5792379238 	 -11.2164054245 	 -13.5979426608 	 -8.4724205966 	 -15.9240804057 	 -4.8372424610 	 -17.4230444507 	 -1.7451279962
-0.5791179118 	 -11.2020012297 	 -13.5863788473 	 -8.4576178131 	 -15.9137568488 	 -4.8225860955 	 -17.4150544846 	 -1.7308029706
-0.5789978998 	 -11.1875954351 	 -13.5724810107 	 -8.4423375358 	 -15.9019907526 	 -4.8079308557 	 -17.4089370238 	 -1.7147194253
-0.5788778878 	 -11.1739759771 	 -13.5615243905 	 -8.4271182437 	 -15.8881698919 	 -4.7919618931 	 -17.4028134954 	 -1.6975860059
