# Time 	 GP Component 	 Full model (GP + Keplerian) 	 model1down 	 model1up 	 model2down 	 model2up 	 model3down 	 model3up
2458887.1265615374 	 0.0000000000 	 -6.4665238881 	 -9.7013693950 	 -3.1594336354 	 -13.2490574063 	 0.3908233928 	 -15.9171269364 	 2.7782522673
2458887.3317667427 	 0.0000000000 	 0.6792970124 	 -2.6114529224 	 4.0760842166 	 -6.2482326734 	 7.5174347460 	 -8.8827538382 	 10.1253510427
2458887.5369719476 	 0.0000000000 	 7.9478192664 	 4.6827169628 	 11.2330192787 	 1.1179759079 	 14.5757273603 	 -1.5100373771 	 17.0432742845
2458887.7421771530 	 0.0000000000 	 14.6039276734 	 11.4590910885 	 17.7175379275 	 8.0617901598 	 20.9651722424 	 5.6662190752 	 23.0103894355
2458887.9473823584 	 0.0000000000 	 19.8760851544 	 17.0550711621 	 22.6359443789 	 13.9064500872 	 25.5688682379 	 11.7679610407 	 27.6445211671
2458888.1525875633 	 0.0000000000 	 22.9470859882 	 20.6329266041 	 25.2544666088 	 18.0150805451 	 27.9560397532 	 16.0482744382 	 29.7639807037
2458888.3577927686 	 0.0000000000 	 23.1956178305 	 21.1794847043 	 25.2919586948 	 18.9532477811 	 27.6028844391 	 17.5757992842 	 29.4303637274
2458888.5629979740 	 0.0000000000 	 20.5828828339 	 17.9260177428 	 22.8990212667 	 14.4657207529 	 25.3675579890 	 11.9822828765 	 27.0290048312
2458888.7682031789 	 0.0000000000 	 15.0234367270 	 11.0733380832 	 18.3767355574 	 6.4045218073 	 21.4696851743 	 2.9121369983 	 23.5716179953
2458888.9734083842 	 0.0000000000 	 7.2172676762 	 2.3784131796 	 11.6794923943 	 -2.8107505362 	 15.9864485049 	 -5.9932502410 	 18.5547009019
2458889.1786135896 	 0.0000000000 	 -1.5606872917 	 -6.4701563149 	 3.3655500078 	 -11.1493337147 	 8.5319719488 	 -14.0232108635 	 11.8855212763
2458889.3838187945 	 0.0000000000 	 -9.8563227028 	 -14.0046319866 	 -5.3247279654 	 -17.6406392519 	 -0.0732792620 	 -20.0377009550 	 3.6873379721
